name,latitude,longitude,zone_type
allwyn erragadda,17.45371,78.43484,bus_stop
allwyn phase 1,17.50219,78.41873,bus_stop
allwyn phase 1,17.50188,78.41885,bus_stop
allwyn phase 1,17.50211,78.41916,bus_stop
allwyn x road,17.49336,78.35148,bus_stop
allwyn x road,17.49381,78.34986,bus_stop
allwyn x road,17.49192,78.35314,bus_stop
allwyn x road,17.49452,78.35218,bus_stop
almasguda,17.30929,78.533,bus_stop
almasguda,17.30934,78.53322,bus_stop
almasguda cyr colony bus stop,17.3074,78.53533,bus_stop
alugadda bhavi,17.43526,78.51457,bus_stop
alugadda bhavi,17.43551,78.51411,bus_stop
alwal,17.5021,78.51398,bus_stop
alwal,17.50156,78.51408,bus_stop
alwal hills bus stop,17.51295,78.49471,bus_stop
alwal police station bus stop,17.50313,78.51105,bus_stop
alwal police station bus stop,17.50325,78.51107,bus_stop
alwyin colony x road bus stop,17.49383,78.34985,bus_stop
amba theatre,17.39381,78.44251,bus_stop
amba theatre,17.39418,78.44215,bus_stop
ambedhkar bus stop,17.41763,78.62643,bus_stop
ambedkar college bus stop,17.40134,78.49948,bus_stop
ambedkar colony bus stop,17.47647,78.2964,bus_stop
ambedkar nagar,17.5069,78.58358,bus_stop
ambedkar nagar,17.50693,78.5837,bus_stop
ambedkar nagar colony bus stop,17.41793,78.40028,bus_stop
ambedkar nagar rtc bus stop,17.42976,78.61718,bus_stop
ambedkar statue,17.5064,78.50469,bus_stop
ambedkar statue,17.19363,78.64553,bus_stop
ambedkar statue,17.19369,78.64562,bus_stop
ambedkar university,17.4337,78.39765,bus_stop
ambedkar university,17.43348,78.39776,bus_stop
amberpet,17.77707,78.57013,bus_stop
amberpet,17.39218,78.5173,bus_stop
amberpet 6 number,17.39142,78.5126,bus_stop
amberpet 6 number,17.39157,78.51238,bus_stop
amberpet ali cafe,17.38252,78.51803,bus_stop
amberpet ali cafe,17.38241,78.51823,bus_stop
amberpet bus stop,17.38959,78.51426,bus_stop
amberpet bus stop,17.39014,78.51651,bus_stop
amberpet bus stop,17.39134,78.51623,bus_stop
amberpet gandhi statue,17.39266,78.51976,bus_stop
amberpet gandhi statue,17.39241,78.51962,bus_stop
amberpet police line,17.3865,78.51652,bus_stop
amberpet police line,17.38644,78.51671,bus_stop
amberpet police lines bus stop,17.38618,78.51573,bus_stop
amberpet police station,17.39024,78.51649,bus_stop
amberpet village,17.32033,78.63756,bus_stop
amberpet village,17.32037,78.63766,bus_stop
ameenpur bus stop,17.52397,78.32422,bus_stop
ameenpur bus stop,17.5237,78.32408,bus_stop
ameerpet,17.43404,78.4463,bus_stop
ameerpet,17.43322,78.44656,bus_stop
ameerpet,17.43161,78.44758,bus_stop
ameerpet,17.43178,78.44796,bus_stop
ameerpet,17.42966,78.45044,bus_stop
ameerpet,17.43745,78.44825,bus_stop
ameerpet (pickup van),17.43608,78.44412,bus_stop
ameerpet / sheesh mahal,17.43461,78.44889,bus_stop
ameerpet / sheesh mahal,17.43441,78.44867,bus_stop
ameerpet bus stop,17.43458,78.44794,bus_stop
ameerpet near gurudwara,17.43605,78.44828,bus_stop
ameerpet satyam theatre,17.43698,78.44822,bus_stop
ammuguda bazar,17.49703,78.53202,bus_stop
ammuguda bazar,17.49672,78.53246,bus_stop
ammuguda bazar,17.49687,78.53246,bus_stop
anajpur,17.27019,78.6934,bus_stop
anajpur,17.27025,78.69337,bus_stop
anand bagh,17.45806,78.53672,bus_stop
anand bagh,17.45813,78.53657,bus_stop
anand nagar,17.36967,78.5736,bus_stop
anand nagar,17.36957,78.57367,bus_stop
anand theatre,17.44323,78.48211,bus_stop
anand theatre,17.44357,78.48271,bus_stop
ananda jyothy bus stop,17.38998,78.53152,bus_stop
ananpurna,17.42356,78.4253,bus_stop
ananpurna,17.42356,78.4247,bus_stop
anantaram,17.49832,78.8424,bus_stop
andhra bank bus stop,17.40615,78.46743,bus_stop
andhra kasari colony / huda park rtc,17.32751,78.57482,bus_stop
andhra kasari colony / huda park rtc,17.32753,78.57501,bus_stop
andhra pradesh state road transport corporation- ecil bus stop,17.4735,78.57089,bus_stop
andhrajyothi,17.42717,78.44474,bus_stop
andhrajyothi,17.4273,78.44502,bus_stop
angadipeta,17.51337,78.47956,bus_stop
angadipeta,17.5135,78.47978,bus_stop
angrau rtc bus stop,17.32272,78.41837,bus_stop
anjaiah nagar,17.45203,78.36381,bus_stop
anjaiah nagar,17.45209,78.36355,bus_stop
anjaiah nagar,17.50172,78.42486,bus_stop
anjaiah nagar,17.5019,78.4246,bus_stop
anjali gardens bus stop,17.40314,78.37109,bus_stop
anjaneya tower,17.29771,78.53225,bus_stop
annamacharya engineering college,17.30326,78.73643,bus_stop
annamacharya engineering college,17.30319,78.73618,bus_stop
annapurna colony,17.50035,78.41611,bus_stop
annapurna colony,17.50046,78.41611,bus_stop
annapurna colony auto stop,17.31057,78.52328,bus_stop
annapurna colony bus stop,17.48212,78.6166,bus_stop
annapurna colony bus stop,17.41051,78.56008,bus_stop
annapurna hotel,17.38912,78.4731,bus_stop
annapurna nagar,17.3102,78.52327,bus_stop
annapurna nagar,17.31024,78.52333,bus_stop
annojiguda,17.43582,78.66092,bus_stop
annojiguda,17.4362,78.66288,bus_stop
anurag lab,17.33403,78.49265,bus_stop
anutex,17.45021,78.53244,bus_stop
anutex,17.45037,78.53289,bus_stop
aparna company,17.52799,78.35456,bus_stop
aparna company,17.52803,78.3544,bus_stop
aperl,17.32442,78.37434,bus_stop
aperl,17.32464,78.37434,bus_stop
apiic mindspace junction bus stop,17.44067,78.37702,bus_stop
apollo hospital,17.41864,78.41299,bus_stop
apollo hospital,17.41805,78.41328,bus_stop
appa,17.35006,78.36164,bus_stop
appa,17.35063,78.36222,bus_stop
appa junction|orr appa junction bus stop,17.34957,78.36016,bus_stop
apperal park bus stop,17.55827,78.47235,bus_stop
