name,latitude,longitude,zone_type
"Indira Nagar, Golnaka",17.391481,78.5071983,flood_vulnerable
"Indiramma Nagar, Kattamaisamma, Rasoolpura",17.4471434,78.4773256,flood_vulnerable
"Indiranagar Colony, Ramantapur, Ward No.9",17.4919047,78.3223444,flood_vulnerable
Jahangir Nagar,17.3573865,78.479812,flood_vulnerable
"Jaishanker Nagar, Gajularamaram",17.5197849,78.4222411,flood_vulnerable
Jambavi Nagar,17.385044,78.486671,flood_vulnerable
Janaki Nagar,17.40127,78.4147925,flood_vulnerable
Janan Baba Nagar,17.3276969,78.4926035,flood_vulnerable
"Janapriya colony, Lingojiguda,Ward No.18",17.3499742,78.5435476,flood_vulnerable
"Jayabheri colony, Gachibowli",17.4505017,78.360756,flood_vulnerable
"Jeedimetla main road, Subash Nagar",17.5115974,78.4588539,flood_vulnerable
JINSHI CHOWRAHI (KOLSAWADI),17.3722811,78.4707732,flood_vulnerable
Jyothi Nagar,17.3979,78.4444725,flood_vulnerable
"Kaiser Nagar, Gajularamaram",17.536011,78.4034188,flood_vulnerable
Kalyan Nagar ,17.4526394,78.4219005,flood_vulnerable
Kamala Nagar Moosa Nagar,17.329838,78.579138,flood_vulnerable
"Kaverinagar, Uppal, Ward No.10",17.3983774,78.5582652,flood_vulnerable
Kings Colony,17.3310054,78.4453532,flood_vulnerable
"Kodandaram nagar, Gaddiannaram, Ward No. 23",17.3597579,78.5270405,flood_vulnerable
Kothabasthi ,17.3778913,78.4682358,flood_vulnerable
Krishinagar,17.4706799,78.4876257,flood_vulnerable
Krishna Nagar,17.4305565,78.4270534,flood_vulnerable
Krishna Reddy nagar Uppuguda,17.3388345,78.4862051,flood_vulnerable
Lakshmi Nagar,17.3694776,78.54408,flood_vulnerable
Lalapet  Vinoba Nagar,17.4388655,78.5415953,flood_vulnerable
Laxmi das Bada Nampally,17.391592,78.470953,flood_vulnerable
Laxmi Nagar,17.4631839,78.3536438,flood_vulnerable
LAXMIDASBADA,17.385044,78.486671,flood_vulnerable
M.S.Maktha,17.4197628,78.4634722,flood_vulnerable
Madhuranagar,17.4388159,78.434546,flood_vulnerable
Malakpet Railway bridge,17.3766392,78.4947994,flood_vulnerable
Mallareddy Colony,17.5181843,78.2982688,flood_vulnerable
Mallikarjuna Nagar Bagh Amberpet,17.3954533,78.5265618,flood_vulnerable
"Mallikarjuna nagar, Uppal, Ward No.10",17.4130068,78.5689918,flood_vulnerable
"Manikya Nagar, Quthubullapur",17.4939541,78.4560118,flood_vulnerable
"Markandeya Nagar, Quthubullapur",17.5215744,78.4356525,flood_vulnerable
Maruthi Nagar ,17.3740393,78.5433501,flood_vulnerable
"Maruthi Nagar, RangaReddy Nagar",17.4957686,78.4434228,flood_vulnerable
Maruti Nagar,17.3791357,78.5434853,flood_vulnerable
MCH Quarters Domalaguda,17.4048374,78.4853172,flood_vulnerable
MD Lines Tolichowki,17.3948991,78.4186554,flood_vulnerable
"Meenakshi Estate, Jeedimetla",17.510951,78.4851396,flood_vulnerable
Mehmoodguda,17.4217557,78.5133714,flood_vulnerable
"Moosaram bagh, Amberpet",17.3729724,78.5163894,flood_vulnerable
Mougal Colony,17.3188417,78.4489062,flood_vulnerable
Moula ka Chilla and Ali Nagar,17.385044,78.486671,flood_vulnerable
Murtuza Nagar,17.3591354,78.4877836,flood_vulnerable
Nadeem Colony Tolichowki,17.3989046,78.4085726,flood_vulnerable
Nagamaiah Kumta,17.3163828,78.3941767,flood_vulnerable
Nagamayya Kunta,17.3163828,78.3941767,flood_vulnerable
Narender Nagar Amberpet,17.3841143,78.5252946,flood_vulnerable
Narsimha Basthi,17.3999335,78.5104671,flood_vulnerable
"Narsimha Basthi, Nallakunta",17.3998293,78.5101529,flood_vulnerable
Nawab Sub Kunta Toom,17.3263091,78.4558824,flood_vulnerable
"NCL Colony, Jeedimetla",17.517824,78.484854,flood_vulnerable
Nehru Nagar,17.3969693,78.5343079,flood_vulnerable
New Ashok Nagar,17.4060443,78.4895211,flood_vulnerable
"New Bharath nagar, Uppal, Ward No.10",17.3983774,78.5582652,flood_vulnerable
"New Colony, Miyapur",17.4989159,78.3620211,flood_vulnerable
New Ganga Nagar,17.3656757,78.4471297,flood_vulnerable
New Shankar Nagar Malakpet,17.5098721,78.3083393,flood_vulnerable
Old Alwal,17.506338,78.5045557,flood_vulnerable
OSMANGUNJ,17.3797022,78.4755496,flood_vulnerable
Padma Colony,17.3992072,78.5043167,flood_vulnerable
Padma Nagar Malakpet,17.3786332,78.496025,flood_vulnerable
Panjagutta(Dhobi Ghat),17.3559996,78.4872706,flood_vulnerable
Parvathi Nagar,17.4576802,78.4023524,flood_vulnerable
Patel Nagar,17.3855793,78.4702215,flood_vulnerable
Patel Nagar Amberpet,17.3801404,78.5270405,flood_vulnerable
"PJR colony, Gachibowli (Gas Godown main nala)",17.5007169,78.3379811,flood_vulnerable
Pool Bagh Kaladera,17.3301175,78.4858385,flood_vulnerable
Prabhakar Ji Colony,17.385044,78.486671,flood_vulnerable
"Prakasham Panthulu Nagar, Gajularamaram",17.5191037,78.4254543,flood_vulnerable
Prem Nagar,17.4090392,78.4519794,flood_vulnerable
Prem Nagar Amberpet,17.385471,78.5185197,flood_vulnerable
Premnagar & Marthandanagar,17.4785578,78.3593363,flood_vulnerable
Rahmath Nagar,17.440527,78.422826,flood_vulnerable
Raj Nagar,17.4171942,78.4631169,flood_vulnerable
Raj Nagar,17.4171942,78.4631169,flood_vulnerable
"Ram Reddy nagar, Habsiguda, Ward No.8",17.4096274,78.5441143,flood_vulnerable
"Ram Reddy Nagar, Subash Nagar",17.5298453,78.4595644,flood_vulnerable
"Ramshanker Nagar, Ramantapur, Ward No.9",17.3897428,78.5336425,flood_vulnerable
Ranjan Colony,17.3439996,78.4570278,flood_vulnerable
Ratna Nagar,17.3943723,78.5025412,flood_vulnerable
RBI Colony,17.4103603,78.495794,flood_vulnerable
"Reddy Basthi, Himayath Nagar",17.3978414,78.484278,flood_vulnerable
Reinbazar,17.3570981,78.4936632,flood_vulnerable
"Remurthy Lane, Himayath Nagar",17.406477,78.478292,flood_vulnerable
"RTC Colony, Lake view extension",17.3956129,78.6040136,flood_vulnerable
Sabarmathi Nagar,17.4953059,78.3661506,flood_vulnerable
Sadath Nagar,17.33661,78.4854947,flood_vulnerable
Sadath Nagar,17.33661,78.4854947,flood_vulnerable
Sadath Nagar Uppuguda,17.33661,78.4854947,flood_vulnerable
Sai Baba Colony,17.3615811,78.5321212,flood_vulnerable
Sai Charan Colony,17.339406,78.5572647,flood_vulnerable
Sai Prashanth Nagar,17.5064738,78.3987546,flood_vulnerable
Saidabad,17.3573615,78.5111959,flood_vulnerable
Saifi Colony,17.3230158,78.4566761,flood_vulnerable
Sanjay Gandhi Nagar,17.4957005,78.4361149,flood_vulnerable
"Sanjay Gandhi Nagar, Nallakunta",17.5163395,78.4403789,flood_vulnerable
"SanjayGandhi Nagar, Suraram",17.5163395,78.4403789,flood_vulnerable
Saradha Nagar Bagh Amberpet,17.39396,78.514259,flood_vulnerable
Sardar Nagar (FTL Area),17.4542898,78.4179292,flood_vulnerable
Sattireddy Nagar,17.400641,78.3871669,flood_vulnerable
Satya Nagar,17.3812076,78.5454999,flood_vulnerable
"Satyanagar, Nallakunta",17.3812076,78.5454999,flood_vulnerable
"Seesalabasti, Gaddiannaram, Ward No. 23",17.3668729,78.5242003,flood_vulnerable
Shankar Nagar Malakpet,17.3825603,78.4997003,flood_vulnerable
Shankeshwar Bazar,17.3593474,78.5199399,flood_vulnerable
Sharadha Nagar Road No.30,17.3610836,78.5283821,flood_vulnerable
Shastry Nagar,17.4558428,78.4517485,flood_vulnerable
Shiva Nagar,17.5048926,78.4190573,flood_vulnerable
Shivaji Nagar,17.4389608,78.4993452,flood_vulnerable
Shivaji Nagar Uppuguda,17.3356212,78.4872706,flood_vulnerable
Shivanand Nagar,17.3987949,78.5160343,flood_vulnerable
Shyamala Kunta,17.385044,78.486671,flood_vulnerable
Siddigue Nagar (Siddique nagar to Meenakshi towers via Reddy Constructions & Rolling Hills),17.4447913,78.3661159,flood_vulnerable
Siddiqui Nagar,17.4496324,78.3707122,flood_vulnerable
Sindhi Colony,17.4414845,78.4801671,flood_vulnerable
Singadi Kunta  Basthi,17.4161543,78.4367757,flood_vulnerable
Singareni Colony,17.3532727,78.52309,flood_vulnerable
Sitarampuram,17.3187777,78.6182394,flood_vulnerable
"SoniaGandhi Nagar, Suraram",17.533954,78.432423,flood_vulnerable
"Sri Ram Nagar, Suraram",17.5440915,78.4233445,flood_vulnerable
"SriKrishna Nagar, Suraram",17.5445359,78.4262876,flood_vulnerable
"Srinagar Colony, Chilkanagar, Ward No.7",17.4321456,78.4384747,flood_vulnerable
"Srinagar Colony, Ramantapur, Ward No.9",17.4321456,78.4384747,flood_vulnerable
Srinivas Nagar Colony,17.4932473,78.4160364,flood_vulnerable
"Srinivas Nagar, Jeedimetla",17.5280745,78.4418001,flood_vulnerable
Subash Chandra Bose Nagar,17.5153702,78.430074,flood_vulnerable
"Sunder nagar, Subash Nagar",17.4508018,78.4386911,flood_vulnerable
"Suraram Colony, Subash Nagar",17.5115974,78.4588539,flood_vulnerable
"Swaroopnagar, Uppal, Ward No.10",17.4130068,78.5689918,flood_vulnerable
"Syed Saab Ka
Bada",17.385044,78.486671,flood_vulnerable
