ward_name,circle,zone,area_sqkm,zone_type
123-HYDER NAGAR,24-KUKATPALLY,WEST  ZONE,3640059.12151314,ward_boundary
122-VIVEKANANDA NAGAR COLONY,24-KUKATPALLY,WEST  ZONE,1680697.97835398,ward_boundary
113-PATANCHERUVU,22-RAMACHANDRAPURAM & PATANCHERUVU,WEST  ZONE,14574929.1514698,ward_boundary
108-MIYAPUR,21-CHANDA NAGAR,WEST  ZONE,8132405.04343248,ward_boundary
45-JANGAMMET,8-CHANDRAYANGUTTA,SOUTH  ZONE,1687751.85766125,ward_boundary
42-BARKAS,8-CHANDRAYANGUTTA,SOUTH  ZONE,1619107.42400743,ward_boundary
41-KANCHANBAGH,8-CHANDRAYANGUTTA,SOUTH  ZONE,4994235.03776534,ward_boundary
7-CHILUKA NAGAR,2-UPPAL,EAST ZONE,2937031.76808081,ward_boundary
9-RAMANTHAPUR,2-UPPAL,EAST ZONE,2730227.84638863,ward_boundary
25-MOOSARAMBAGH,6-MALAKPET,SOUTH  ZONE,2079728.72658739,ward_boundary
