name,latitude,longitude,zone_type
bramarambha and mallikarjuna theatres,17.50013189025455,78.38657816744903,commercial_zone
The V Ascendas IT Park,17.43519895032514,78.38483668494855,commercial_zone
Cyber Gateway,17.446887885543063,78.37597964015765,commercial_zone
"Deccan Park, Tata Consultancy Services",17.443601185916467,78.37805439669586,commercial_zone
,17.450379431522638,78.38089552158958,commercial_zone
Broadridge,17.449491639925427,78.38204379525038,commercial_zone
,17.423766819145516,78.49488985679616,commercial_zone
Center for Cellular and molecular biology,17.420640132666147,78.54164740998519,commercial_zone
Infosys,17.435009638389225,78.35064045334782,commercial_zone
Maximus Towers,17.444476962897316,78.37987458279524,commercial_zone
HSBC,17.45624195402235,78.36808069911099,commercial_zone
Motorola,17.447902300901347,78.37723637156208,commercial_zone
Value Labs,17.449402933260632,78.37247438336229,commercial_zone
Delotte,17.448314658441802,78.37526048560306,commercial_zone
Delotte,17.448221277774618,78.37587580450341,commercial_zone
,17.44799777708212,78.37653206755989,commercial_zone
,17.450236143501552,78.37173741400022,commercial_zone
Oracle Campus Phase 1,17.449928509134594,78.37369894120462,commercial_zone
Multi Level Carpark,17.45009155,78.37465675,commercial_zone
,17.4486533,78.374709,commercial_zone
Oracle Campus Phase 2,17.449491035395724,78.37422580688855,commercial_zone
,17.4498766,78.37211175,commercial_zone
Oracle Campus Phase 3,17.45042222487947,78.37325642854337,commercial_zone
,17.405150708685248,78.46481436151123,commercial_zone
,17.403326602801073,78.46704524020514,commercial_zone
,17.406745206692126,78.46685318856798,commercial_zone
Mahindra Satyam,17.451974693078174,78.37394881410724,commercial_zone
DLF Tech park,17.44760532418883,78.35545553120825,commercial_zone
,17.252835471493757,78.68049712738424,commercial_zone
"Tata Consultancy Services, Synergy Park",17.449259005693115,78.3519672238005,commercial_zone
HUDA Complex,17.424229628915416,78.53499143981077,commercial_zone
Sri Sai Sampada,17.438933247238936,78.39830397455967,commercial_zone
MAA TV Office,17.435402408626153,78.39813642448665,commercial_zone
Indian Immunological Limited,17.4353487,78.39731035000001,commercial_zone
IMI Mobile,17.43500089998948,78.39853932250624,commercial_zone
,17.468237738478546,78.3817901633184,commercial_zone
,17.468068521842017,78.38255344630541,commercial_zone
Hyundai,17.467978285871997,78.38285435729776,commercial_zone
Hyderabad Water Board,17.499695580362406,78.37857205406735,commercial_zone
,17.456844030360866,78.3743712193614,commercial_zone
Honeypot,17.404715470360298,78.45956087794424,commercial_zone
CA,17.42480046271536,78.33731539479325,commercial_zone
CapGemini,17.42000453717261,78.33886712526325,commercial_zone
Virtusa Corporation,17.421334164480655,78.3439394829596,commercial_zone
Polaris Financial Technology Ltd.,17.426616880450634,78.33860145452671,commercial_zone
Waverock,17.41850466892376,78.34714009752871,commercial_zone
,17.423904759920234,78.42677068904062,commercial_zone
Genpact Uppal Campus,17.411224152952524,78.54827106509079,commercial_zone
Indian Institute of Chemical Technology,17.42352695982657,78.54040055311603,commercial_zone
lavish ceramics,17.469477510691075,78.36488624611017,commercial_zone
Microsoft,17.430320832519882,78.34168467888676,commercial_zone
Wipro Campus,17.426337315196065,78.34338202661641,commercial_zone
,17.407797877485404,78.47398710835213,commercial_zone
Telephone Exchange,17.421046802756177,78.4964226481233,commercial_zone
Anjuman Community Hall,17.41876661137677,78.49414832090444,commercial_zone
,17.369289263936803,78.47583729943831,commercial_zone
,17.36989215388633,78.47667288357951,commercial_zone
country club,17.43566619774928,78.45716039466215,commercial_zone
L&T ECC Infra,17.395304654582713,78.57513148885788,commercial_zone
M.E reddy function hall,17.340564200431906,78.57102371668236,commercial_zone
BHEL Petrol Pump,17.4975689,78.2973922,commercial_zone
,17.40563887521157,78.40326103443441,commercial_zone
"narayana junior college,DNM",17.370678473707247,78.52107056364588,commercial_zone
,17.435271904880036,78.4865900980484,commercial_zone
,17.43404853569456,78.48580514512032,commercial_zone
,17.43482705998233,78.48599028396578,commercial_zone
,17.43971351573259,78.48493980946468,commercial_zone
General Bazaar,17.438487010261845,78.4902301968131,commercial_zone
RTC Bhavan,17.406766496644565,78.49878220751421,commercial_zone
Mindspace Technology Park,17.44025592177402,78.38184293155189,commercial_zone
savera function hall,17.435303338253824,78.43138712864483,commercial_zone
Plant nursery,17.428762216156827,78.41679867170188,commercial_zone
Bhavya Web Technologies Pvt Ltd,17.493188426735568,78.410629722025,commercial_zone
,17.40747278520531,78.47027413655728,commercial_zone
BSNL Bhavan,17.407082814659848,78.46530720140986,commercial_zone
Liberty Plaza,17.406734317405856,78.477717470527,commercial_zone
,17.40776719166525,78.46244941678499,commercial_zone
,17.407404054217373,78.46287398509664,commercial_zone
,17.4070645107561,78.46365494488096,commercial_zone
,17.407645457550455,78.4659847534627,commercial_zone
,17.453767042985938,78.37849665141626,commercial_zone
,17.433366123467522,78.48592938291304,commercial_zone
FinTown,17.453476323673968,78.39436691048968,commercial_zone
Aarvee Associates Architect Engineers and Consultants Private Limited,17.42995953437046,78.43818686764962,commercial_zone
,17.519932455153732,78.37838707536578,commercial_zone
,17.411562512185814,78.40290981848491,commercial_zone
,17.387994675824377,78.47658329484429,commercial_zone
Aarambh Township Commercial Complex,17.481558575868736,78.32742594924926,commercial_zone
,17.442504951562825,78.48893920264658,commercial_zone
,17.442564556870835,78.48643431042598,commercial_zone
HMT Communit Hall Parking Aisle,17.51674167024258,78.34256161507251,commercial_zone
,17.41584122135407,78.41080235105059,commercial_zone
Aquatic center,17.350479362802783,78.5698372635569,commercial_zone
KBR Convention,17.350852915245884,78.56701760995007,commercial_zone
,17.43835223116863,78.3801019028705,commercial_zone
Poorna Grdens,17.33517745212637,78.38338998006267,commercial_zone
,17.420800508686693,78.40256460300235,commercial_zone
game city,17.434342411750205,78.38193136235837,commercial_zone
Atria Block,17.435399549401655,78.38513558810646,commercial_zone
AMAZON INDIA,17.420002681260325,78.34575090701718,commercial_zone
Rythu bazaar,17.426146551153714,78.5514124771017,commercial_zone
,17.369724505604793,78.51302692636168,commercial_zone
Dell,17.448214588124497,78.37355329128559,commercial_zone
,17.402186454263113,78.46583119833842,commercial_zone
HMWSSB Sewage Plant,17.416129206497157,78.46453898518409,commercial_zone
Sewage Plant,17.38182793120326,78.53327636819606,commercial_zone
,17.234910759680726,78.46157760112685,commercial_zone
,17.458520471139085,78.43524340559028,commercial_zone
,17.466667758136285,78.42173834007873,commercial_zone
,17.46541494959805,78.41905885426165,commercial_zone
,17.4741714093258,78.43578369267173,commercial_zone
,17.534473505319795,78.27547335663947,commercial_zone
,17.492227071067276,78.2877192812957,commercial_zone
,17.536707585380768,78.25079280542053,commercial_zone
,17.459136831511103,78.42987178754377,commercial_zone
VIjaya Dairy,17.43267895582714,78.5402419157634,commercial_zone
,17.56439687937618,78.4665774114559,commercial_zone
,17.584079753565845,78.47540338988878,commercial_zone
,17.613288105652977,78.4923677349772,commercial_zone
,17.578623782142916,78.49657019070008,commercial_zone
,17.660418853693486,78.61312195090005,commercial_zone
Katedan Industrial Area,17.313494944097663,78.43355008976515,commercial_zone
Katedan Industrial Area,17.305095673181498,78.43232343944842,commercial_zone
,17.392292553523653,78.50111121833372,commercial_zone
